"","sp","lon","lat","grupo"
"214","Dendropsophus anceps",-42.817165,-22.914642,"amphibians"
"215","Dendropsophus anceps",-42.615117,-19.705124,"amphibians"
"216","Dendropsophus anceps",-42.551706,-19.678756,"amphibians"
"217","Dendropsophus anceps",-39.789669,-17.423882,"amphibians"
"218","Dendropsophus anceps",-39.288629,-16.618697,"amphibians"
"219","Dendropsophus anceps",-39.693567,-15.454338,"amphibians"
"220","Dendropsophus anceps",-39.661989,-15.903107,"amphibians"
"221","Dendropsophus anceps",-39.496883,-15.132329,"amphibians"
"222","Dendropsophus anceps",-49.793752,-23.108246,"amphibians"
"223","Dendropsophus anceps",-41.946005,-22.454012,"amphibians"
"224","Dendropsophus anceps",-43.449881,-22.921177,"amphibians"
"225","Dendropsophus anceps",-43.14337,-21.468739,"amphibians"
"226","Dendropsophus anceps",-39.734167,-14.138056,"amphibians"
"227","Dendropsophus anceps",-42.51859,-22.878425,"amphibians"
"228","Dendropsophus anceps",-43.706425,-22.759648,"amphibians"
"229","Dendropsophus anceps",-43.7075,-22.7439,"amphibians"
"230","Dendropsophus anceps",-50.520836,-24.251085,"amphibians"
"231","Dendropsophus anceps",-39.166284,-15.221175,"amphibians"
"232","Dendropsophus berthalutzae",-46.134202,-23.845281,"amphibians"
"233","Dendropsophus berthalutzae",-48.12,-22.28,"amphibians"
"234","Dendropsophus berthalutzae",-47.92,-25.01,"amphibians"
"235","Dendropsophus berthalutzae",-40.635372,-19.87743,"amphibians"
"236","Dendropsophus berthalutzae",-46.419722,-23.89,"amphibians"
"237","Dendropsophus berthalutzae",-48.327769,-25.304879,"amphibians"
"238","Dendropsophus berthalutzae",-48.294444,-25.163889,"amphibians"
"239","Dendropsophus berthalutzae",-47.55,-24.7,"amphibians"
"240","Dendropsophus berthalutzae",-43.806501,-22.854805,"amphibians"
"241","Dendropsophus berthalutzae",-40.07,-19.4166,"amphibians"
"242","Dendropsophus berthalutzae",-43.113071,-22.611979,"amphibians"
"243","Dendropsophus berthalutzae",-46.188056,-23.523056,"amphibians"
"244","Dendropsophus berthalutzae",-48.834167,-25.476944,"amphibians"
"245","Dendropsophus berthalutzae",-48.866667,-25.433333,"amphibians"
"246","Dendropsophus berthalutzae",-43.4511,-22.7592,"amphibians"
"247","Dendropsophus berthalutzae",-46.4,-24,"amphibians"
"248","Dendropsophus berthalutzae",-46.440812,-23.728055,"amphibians"
"249","Dendropsophus berthalutzae",-46.297416,-23.772547,"amphibians"
"250","Dendropsophus berthalutzae",-46.529722,-23.66,"amphibians"
"251","Dendropsophus berthalutzae",-46.291487,-23.870282,"amphibians"
"252","Dendropsophus berthalutzae",-46.33,-23.96,"amphibians"
"253","Dendropsophus berthalutzae",-49.2064,-25.5347,"amphibians"
"254","Dendropsophus berthalutzae",-46.63,-23.54,"amphibians"
"255","Dendropsophus berthalutzae",-45.021956,-23.380283,"amphibians"
"256","Dendropsophus bipunctatus",-40.273333,-19.820278,"amphibians"
"257","Dendropsophus bipunctatus",-41.066667,-20.833333,"amphibians"
"258","Dendropsophus bipunctatus",-40.416667,-20.266667,"amphibians"
"259","Dendropsophus bipunctatus",-40.42,-20.263889,"amphibians"
"260","Dendropsophus bipunctatus",-39.708889,-18.419444,"amphibians"
"261","Dendropsophus bipunctatus",-40.591667,-20.705556,"amphibians"
"262","Dendropsophus bipunctatus",-40.511,-20.658,"amphibians"
"263","Dendropsophus bipunctatus",-43.775278,-22.852222,"amphibians"
"264","Dendropsophus bipunctatus",-40.833889,-21.011111,"amphibians"
"265","Dendropsophus bipunctatus",-39.958333,-19.422222,"amphibians"
"266","Dendropsophus bipunctatus",-40.07,-19.4166,"amphibians"
"267","Dendropsophus bipunctatus",-39.992778,-19.408056,"amphibians"
"268","Dendropsophus bipunctatus",-40.071944,-19.391111,"amphibians"
"269","Dendropsophus bipunctatus",-43.040556,-22.653056,"amphibians"
"270","Dendropsophus bipunctatus",-43.0406,-22.6528,"amphibians"
